Dataset,Packet,Method,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,24,LLGD,19204,92,34,0.780952380952381,0.320270091354429,0.45425097413267,0.293871104901901,1,0.801570897064903,0.679729908645571,2.7987622
urban_events,24,ST,19204,92,24,0.0519774011299435,0.380165289256198,0.0914512922465209,0.0479166666666667,1.2,0.031055900621118,0.619834710743802,0.181483
urban_events,24,ELiSeD,19204,92,18,0.01727199354318,0.115177610333692,0.0300393037619315,0.0152486817728374,2,0,0.884822389666308,0.2828176
urban_events,24,LE-calib,19204,92,78,0.29410815173527,0.330911732655285,0.311426373814204,0.18443162263387,1.15384615384615,0.21569703622393,0.669088267344715,3.4083336
urban_events,25,LLGD,8820,101,38,0.63643331630046,0.482939123691353,0.549162257495591,0.378513903662057,1,0.625050180650341,0.517060876308647,0.7263129
urban_events,25,ST,8820,101,29,0.136944302503832,0.552008238928939,0.219447287615148,0.123246723384686,2.5,0,0.447991761071061,0.0751122
urban_events,25,ELiSeD,8820,101,35,0.0891670924885028,0.449163449163449,0.148795565977404,0.0803777061262091,2.75,0.0859598853868195,0.550836550836551,0.132281
urban_events,25,LE-calib,8820,101,32,0.298160449667859,0.532633500684619,0.382309582309582,0.2363304981774,1,0.443016281062554,0.467366499315381,1.8145773
urban_events,26,LLGD,6624,86,19,0.0957642725598527,0.164556962025316,0.121071012805588,0.0644361833952912,1,0.0336538461538461,0.835443037974684,0.5315294
urban_events,26,ST,6624,86,4,0.0340699815837937,0.229813664596273,0.0593424218123496,0.0305785123966942,1.5,0,0.770186335403727,0.054163
urban_events,26,ELiSeD,6624,86,23,0.0446593001841621,0.229857819905213,0.0747879722436392,0.038846615939127,2,0,0.770142180094787,0.0937081
urban_events,26,LE-calib,6624,86,32,0.298802946593002,0.350053937432578,0.322404371584699,0.192182410423453,1,0.234206471494607,0.649946062567422,1.2550847
urban_events,27,LLGD,2723,66,15,0.191330343796712,0.274089935760171,0.225352112676056,0.126984126984127,1,0.0546875,0.725910064239829,0.1628867
urban_events,27,ST,2723,66,5,0.0328849028400598,0.0674846625766871,0.0442211055276382,0.0226104830421377,1,0,0.932515337423313,0.027004
urban_events,27,ELiSeD,2723,66,10,0.0971599402092676,0.343915343915344,0.151515151515152,0.0819672131147541,3,0,0.656084656084656,0.0271819
urban_events,27,LE-calib,2723,66,14,0.225710014947683,0.178698224852071,0.199471598414795,0.110785033015407,1,0.443708609271523,0.821301775147929,0.4689552
urban_events,28,LLGD,10986,88,44,0.238493723849372,0.402751952398661,0.299585062240664,0.176183504148365,1,0.116343490304709,0.597248047601339,0.6597573
urban_events,28,ST,10986,88,12,0.0449240255450341,0.434968017057569,0.081437125748503,0.0424469413233458,1.33333333333333,0.053921568627451,0.565031982942431,0.0946222
urban_events,28,ELiSeD,10986,88,16,0.0607795639726932,0.63302752293578,0.110910186859554,0.0587109125717932,3.66666666666667,0,0.36697247706422,0.1412987
urban_events,28,LE-calib,10986,88,42,0.310063862585334,0.503937007874016,0.383912747102931,0.237556942804117,1,0.251420454545455,0.496062992125984,2.056787
urban_events,29,LLGD,17020,97,19,0.978679786797868,0.448178745775441,0.61481004507405,0.44384529564894,1,0.850160592096076,0.551821254224559,3.471408
urban_events,29,ST,17020,97,19,0.0597239305726391,0.600274725274725,0.10863890615289,0.0574395373291272,1.5,0.0183066361556065,0.399725274725275,0.1479297
urban_events,29,ELiSeD,17020,97,17,0.043050430504305,0.637651821862348,0.0806554858532838,0.0420224119530416,3.33333333333333,0.0158730158730159,0.362348178137652,0.2123609
urban_events,29,LE-calib,17020,97,76,0.368320349870165,0.559128630705394,0.444096564225097,0.285426816352468,1.2,0.274582560296846,0.440871369294606,3.0490235
urban_events,30,LLGD,7480,84,18,0.168877833056938,0.375076734192756,0.232894987611969,0.131794650560828,1,0.453355155482815,0.624923265807244,0.410392
urban_events,30,ST,7480,84,22,0.131564400221117,0.661111111111111,0.219455970493315,0.12325220093216,2.33333333333333,0.00630252100840334,0.338888888888889,0.0650429
urban_events,30,ELiSeD,7480,84,39,0.12824765063571,0.592592592592593,0.210861167916383,0.117856235712471,1.61538461538462,0.0193965517241379,0.407407407407407,0.1156351
urban_events,30,LE-calib,7480,84,33,0.30873410724157,0.51784886416319,0.386839826839827,0.239802490339201,1,0.443151298119964,0.48215113583681,1.3379678
office_spiral_events,1,LLGD,18073,81,118,0.674351585014409,0.332229058211074,0.445149017121116,0.286296900489396,1.09090909090909,0.223646723646724,0.667770941788926,1.4309093
office_spiral_events,1,ST,18073,81,22,0.0493756003842459,0.314180929095354,0.0853395317947866,0.0445716267776622,1,0.0155642023346303,0.685819070904645,0.1441213
office_spiral_events,1,ELiSeD,18073,81,21,0.0401536983669549,0.26556543837357,0.0697596795727637,0.036140411551098,1,0.0143540669856459,0.73443456162643,0.2586257
office_spiral_events,1,LE-calib,18073,81,86,0.388856868395773,0.395081007222331,0.391944229279628,0.24373795761079,1.21428571428571,0.119071146245059,0.604918992777669,3.2497734
office_spiral_events,2,LLGD,9715,77,46,0.527327327327327,0.432618871643262,0.475301123291379,0.311734422155157,1.1,0.281321184510251,0.567381128356738,0.776863
office_spiral_events,2,ST,9715,77,10,0.021021021021021,0.167865707434053,0.0373632239124633,0.0190372586347566,1,0.1,0.832134292565947,0.0805103
office_spiral_events,2,ELiSeD,9715,77,26,0.112912912912913,0.582945736434109,0.189182389937107,0.104473464851348,1.4,0.0585106382978723,0.417054263565891,0.1362579
office_spiral_events,2,LE-calib,9715,77,42,0.318618618618619,0.5,0.389214966984593,0.241630608061945,1,0.189443920829406,0.5,2.1398721
office_spiral_events,3,LLGD,6444,77,20,0.262538699690402,0.295059151009047,0.277850589777195,0.161339421613394,1,0.193396226415094,0.704940848990953,0.4641284
office_spiral_events,3,ST,6444,77,3,0.0160990712074303,0.0875420875420875,0.0271966527196653,0.0137857900318134,1,0.230769230769231,0.912457912457912,0.0533909
office_spiral_events,3,ELiSeD,6444,77,13,0.18390092879257,0.735148514851485,0.294205052005944,0.172473867595819,2.33333333333333,0.104377104377104,0.264851485148515,0.0687144
office_spiral_events,3,LE-calib,6444,77,22,0.339938080495356,0.410007468259895,0.371699390656737,0.228274428274428,1,0.204007285974499,0.589992531740105,1.3223081
office_spiral_events,4,LLGD,5552,68,26,0.238041002277904,0.348914858096828,0.283006093432634,0.164826498422713,1,0.102870813397129,0.651085141903172,0.4318848
office_spiral_events,4,ST,5552,68,7,0.0318906605922551,0.157303370786517,0.053030303030303,0.0272373540856031,1,0.0892857142857143,0.842696629213483,0.0361322
office_spiral_events,4,ELiSeD,5552,68,33,0.164578587699317,0.565557729941292,0.254962505513895,0.146107178968655,1.55555555555556,0.0415224913494809,0.434442270058708,0.0751685
office_spiral_events,4,LE-calib,5552,68,29,0.382118451025057,0.428206764518188,0.403851941017153,0.253016591251885,1,0.178837555886736,0.571793235481812,1.0880625
office_spiral_events,5,LLGD,10549,79,34,0.557334326135517,0.252957080094627,0.347977684797769,0.210637399746729,1,0.633266533066132,0.747042919905373,0.8671983
office_spiral_events,5,ST,10549,79,11,0.0264333581533879,0.149159663865546,0.0449082858950032,0.022969912649628,1,0.0140845070422535,0.850840336134454,0.0875955
office_spiral_events,5,ELiSeD,10549,79,12,0.035740878629933,0.419213973799127,0.0658662092624357,0.0340546293011706,1.66666666666667,0.0104166666666666,0.580786026200873,0.1184871
office_spiral_events,5,LE-calib,10549,79,50,0.28927773641102,0.333476394849785,0.309808612440191,0.183297947629158,1,0.132561132561133,0.666523605150215,2.1535287
office_spiral_events,6,LLGD,6879,86,28,0.414831460674157,0.44439094848339,0.429102742910274,0.273157738976028,1.28571428571429,0.159263271939328,0.55560905151661,0.4361911
office_spiral_events,6,ST,6879,86,11,0.0404494382022472,0.211267605633803,0.0678989060731799,0.0351425224521671,1,0,0.788732394366197,0.0537057
